id,key,value,type
11687537,cfcc,A41,tiger
11687537,reviewed,no,tiger
11687537,zip_left,15226,tiger
11687537,name_base,Bellaire,tiger
11687537,name_type,Pl,tiger
11687537,zip_right,15226,tiger
11687747,name,Wills Street,unspecified
11687747,highway,residential,unspecified
11687747,cfcc,A41,tiger
11687747,reviewed,no,tiger
11687747,name_base,Wills,tiger
11687747,name_type,St,tiger
11687973,name,Republic Street,unspecified
11687973,bicycle,designated,unspecified
11687973,highway,residential,unspecified
11687973,cfcc,A41,tiger
11687973,reviewed,no,tiger
11687973,zip_left,15211,tiger
11687973,name_base,Republic,tiger
11687973,name_type,St,tiger
11687973,zip_right,15211,tiger
11688184,name,Carnot Road,unspecified
11688184,highway,residential,unspecified
11688184,cfcc,A41,tiger
11688184,reviewed,no,tiger
11688184,zip_left,15108,tiger
11688184,name_base,Carnot,tiger
11688184,name_type,Rd,tiger
11688184,zip_right,15108,tiger
11688397,name,Oaklyn Road,unspecified
11688397,highway,residential,unspecified
11688397,cfcc,A41,tiger
11688397,reviewed,no,tiger
11688397,zip_left,15102,tiger
11688397,name_base,Oaklyn,tiger
11688397,name_type,Rd,tiger
11688397,zip_right,15102,tiger
11688574,name,Boland Way,unspecified
11688574,highway,service,unspecified
11688574,service,alley,unspecified
11688574,cfcc,A41,tiger
11688574,highway,bing,source
11688574,reviewed,no,tiger
11688574,name_base,Boland,tiger
11688574,name_type,Way,tiger
11688793,name,Marie Street,unspecified
11688793,highway,residential,unspecified
11688793,cfcc,A41,tiger
11688793,reviewed,no,tiger
11688793,zip_left,15221,tiger
11688793,name_base,Marie,tiger
11688793,name_type,St,tiger
11688793,zip_right,15221,tiger
11688967,name,Kay Street,unspecified
11688967,lanes,1,unspecified
11688967,oneway,no,unspecified
11688967,source,bing,unspecified
11688967,highway,residential,unspecified
11688967,surface,asphalt,unspecified
11688967,maxspeed,25 mph,unspecified
11688967,sidewalk,none,unspecified
11688967,cfcc,A41,tiger
11688967,tlid,51611859,tiger
11688967,source,tiger_import_dch_v0.7_20071109,tiger
11688967,reviewed,no,tiger
11688967,zip_left,15057,tiger
11688967,name_base,Kay,tiger
11688967,name_type,St,tiger
11688967,separated,no,tiger
11689105,name,Edgewood Road,unspecified
11689105,highway,residential,unspecified
11689105,cfcc,A41,tiger
11689105,reviewed,no,tiger
11689105,zip_left,15215,tiger
11689105,name_base,Edgewood,tiger
11689105,name_type,Rd,tiger
11689105,zip_right,15215,tiger
11689105,zip_left_1,15215,tiger
11689324,name,Wing Way,unspecified
11689324,source,bing;http://gis.pittsburghpa.gov/steps/,unspecified
11689324,highway,steps,unspecified
11689324,cfcc,A41,tiger
